temperature,pressure
274,304.3
274,307.7
275,328.9
276.2,352.5
276.5,361.9
277.1,377.1
278.1,412.2
278.2,406.5
282.4,558.3
283.1,579.3
283.3,558.7
285,632.1
286.8,776.9
288.2,790.7
288.3,825.8
288.4,784.1
291.8,1016.6
293,1051.2
293.1,1041.6
293.1,1033
293.1,1037.9
293.2,1078
293.3,1064.2
296.8,1447.4
298,1485.1
298.1,1516.3
298.1,1454.8
298.2,1535.6
301.8,1907.1
303,2010.2
303.1,2021.1
303.1,2056.5
303.3,1988
306.8,2453.2
307.8,2688.5
308.2,2635.6
308.2,2688.9
308.2,2668.6
310.9,3073.9
313.3,3654.4
315,3963.3
315.2,3948.5
