No.,Groups,tfp1k,tb1k,tc1k,pc1k,vc1k,w1k,hf1k,gf1k,hv1k,u[liq]1k,CpA1k,CpB1k,CpC1k
-,-,K,K,K,bar^0.5,m^3/kmol,,kJ/mol,kJ/mol,kJ/mol,cm^3/mol,kJ/mol,kJ/mol,kJ/mol
1,(CH3)2CH,0.038100,-0.115700,-0.533400,0.000488,0.004000,0.0174,-0.860000,0.297000,0.292000,0.001330,0.583000,-1.200200,-0.058400
2,(CH3)3C,-0.235500,-0.048900,-0.514300,0.001410,0.005720,0.01922,-1.338000,-0.399000,-0.720000,0.001790,0.322600,2.130900,-1.572800
3,CH(CH3)CH(CH3),0.440100,0.179800,1.069900,-0.001850,-0.003980,-0.00475,6.771000,6.342000,0.868000,-0.002030,0.966800,-2.076200,0.314800
4,CH(CH3)C(CH3)2,-0.492300,0.318900,1.988600,-0.005200,-0.010810,-0.02883,7.205000,7.466000,1.027000,-0.002430,-0.308200,1.896900,-1.645400
5,C(CH3)2C(CH3)2,6.065000,0.727300,5.825400,-0.013230,-0.023000,-0.08632,14.271000,16.224000,2.426000,-0.007440,-0.120100,4.284600,-2.026200
6,3 membered ring,1.377200,0.474500,-2.330500,0.003714,-0.000140,0.17563,104.800000,94.564000,0.000000,0.000000,8.554600,-22.977100,10.727800
7,4 membered ring,0.000000,0.356300,-1.297800,0.001171,-0.008510,0.22216,99.455000,92.573000,0.000000,0.000000,3.172100,-10.083400,4.967400
8,5 membered ring,0.682400,0.191900,-0.678500,0.000424,-0.008660,0.16284,13.782000,5.733000,-0.568000,0.002130,-5.906000,-1.871000,4.294500
9,6 membered ring,1.565600,0.195700,0.847900,0.002257,0.016360,-0.03065,-9.660000,-8.180000,-0.905000,0.000630,-3.968200,17.788900,-3.363900
10,7 membered ring,6.970900,0.348900,3.671400,-0.009800,-0.027000,-0.02094,15.465000,20.597000,-0.847000,-0.005190,-3.274600,32.167000,-17.824600
11,CH[n]=CH[m]-CH[p]=CH[k],1.991300,0.158900,0.440200,0.004186,-0.007810,0.01648,-8.392000,-5.505000,2.057000,-0.001880,2.614200,4.451100,-5.980800
