No.,Category,Group,Type,Id,Tc,Pc,Vc,Tb,Tm,EnFo_IG,GiEnFo_IG,a,b,c,d,EnFus,EnVap,ηa,ηb
-,-,-,-,-,K,bar,cm3/mol,K,K,kJ/mol,cal/mol,J/mol.K,J/mol.K,J/mol.K,J/mol.K,kJ/mol,kJ/mol,-,-
1,non-ring increments,-CH3,normal,NR1,0.0141,-0.0012,65.0000,23.5800,-5.1000,-76.4500,-43.9600,1.95E+01,-8.08E-03,1.53E-04,-9.67E-08,0.9080,2.3730,548.290,-1.7190
2,non-ring increments,-CH2-,normal,NR2,0.0189,0.0000,56.0000,22.8800,11.2700,-20.6400,8.4200,-9.09E-01,9.50E-02,-5.44E-05,1.19E-08,2.5900,2.2260,94.160,-0.1990
3,non-ring increments,>CH-,normal,NR3,0.0164,0.0020,41.0000,21.7400,12.6400,29.8900,58.3600,-2.30E+01,2.04E-01,-2.65E-04,1.20E-07,0.7490,1.6910,-322.150,1.1870
4,non-ring increments,>C<,normal,NR4,0.0067,0.0043,27.0000,18.2500,46.4300,82.2300,116.0200,-6.62E+01,4.27E-01,-6.41E-04,3.01E-07,-1.4600,0.6360,-573.560,2.3070
5,non-ring increments,=CH2,normal,NR5,0.0113,-0.0028,56.0000,18.1800,-4.3200,-9.6300,3.7700,2.36E+01,-3.81E-02,1.72E-04,-1.03E-07,-0.4730,1.7240,495.010,-1.5390
6,non-ring increments,=C-,normal,NR6,0.0129,-0.0006,46.0000,24.9600,8.7300,37.9700,48.5300,-8.00E+00,1.05E-01,-9.63E-05,3.56E-08,2.6910,2.2050,82.280,-0.2420
7,non-ring increments,=C<,normal,NR7,0.0117,0.0011,38.0000,24.1400,11.1400,83.9900,92.3600,-2.81E+01,2.08E-01,-3.06E-04,1.46E-07,3.0630,2.1380,0.000,0.0000
8,non-ring increments,=C=,normal,NR8,0.0026,0.0028,36.0000,26.1500,17.7800,142.1400,136.7000,2.74E+01,-5.57E-02,1.01E-04,-5.02E-08,4.7200,2.6610,0.000,0.0000
9,non-ring increments,≡CH,normal,NR9,0.0027,-0.0008,46.0000,9.2000,-11.1800,79.3000,77.7100,2.45E+01,-2.71E-02,1.11E-04,-6.78E-08,2.3220,1.1550,0.000,0.0000
10,non-ring increments,≡C-,normal,NR10,0.0020,0.0016,37.0000,27.3800,64.3200,115.5100,109.8200,7.87E+00,2.01E-02,-8.33E-06,1.39E-09,4.1510,3.3020,0.000,0.0000
11,ring increments,-CH2-,normal,R1,0.0100,0.0025,48.0000,27.1500,7.7500,-26.8000,-3.6800,-6.03E+00,8.54E-02,-8.00E-06,-1.80E-08,0.4900,2.3980,307.530,-0.7980
12,ring increments,>CH-,normal,R2,0.0122,0.0004,38.0000,21.7800,19.8800,8.6700,40.9900,-2.05E+01,1.62E-01,-1.60E-04,6.24E-08,3.2430,1.9420,-394.290,1.2510
