No.,Group,a_i,b_i,d_i,Tmin,Tmax
1,C-(H)3(C),4.19845,-0.312709,0.178609,85,705
2,C-(H)2(C)2,2.7345,0.122732,-0.123482,85,700
3,C-(H)(C)3,-1.35393,1.39218,-0.101118,85,483
4,C-(C)4,-5.74777,2.80727,-0.314392,146,423
5,Cd-(H)2,3.73072,-0.213303,0.143503,100,580
6,Cd-(H)(C),4.31538,-1.7134,0.390372,100,530
7,Cd-(C)2,0.77728,-4.09E-03,0.0512102,140,580
8,Cd-(H)(Cd),3.97288,-1.70997,0.473699,130,553
9,Cd-(C)(Cd),0.815385,-0.445281,0.22263,130,580
10,C-(H)2(C)(Cd),1.52245,0.481876,0.0353421,109,530
11,C-(H)2(Cd)2,1.89553,0.296854,0.0925396,128,375
12,C-(H)(C)2(Cd),-2.2301,2.08299,-0.240244,111,460
13,C-(C)3(Cd),-5.62556,2.9054,-0.22086,166,296
14,Ct-(H),9.66742,-4.94989,1.2209,150,330
15,Ct-(C),1.12884,1.04979,0.178614,150,284
16,Ct-(CB),3.4555,-0.528223,-0.0613627,228,330
17,Ca,3.20431,-0.444284,0.136136,140,315
18,CB-(H),2.2161,-0.202639,0.11275,170,770
19,CB-(C),-0.168065,0.644814,-0.0788991,170,700
20,CB-(Cd),-5.21753,4.87313,-0.88624,228,580
21,CB-(CB),-5.12997,4.03244,-0.595745,273,770
22,C-(H)2(C)(CB),2.12721,0.214915,0.0709615,170,700
23,C-(H)2(CB)2,-3.82517,3.96678,-0.449402,268,440
24,C-(H)(C)2(CB),2.41545,-1.31492,0.403035,180,671
25,C-(H)(CB)3,-15.1357,7.79076,-0.855579,365,596
26,C-(C)3(CB),-3.49341,2.00527,-0.186897,170,600
27,CBF-(CBF)(CB)2,-4.93252,3.53466,-0.483297,248,700
28,CBF-(CBF)2(CB),-5.34145,3.20583,-0.375158,332,510
29,CBF-(CBF)3,23.3974,-9.99561,1.15291,386,592
30,C-(H)3(O),3.70344,-1.12884,0.51239,130,380
31,C-(H)2(O)2,-0.633479,0.951097,-0.0579284,170,308
32,C-(H)2(C)(O),0.517007,1.26631,-0.0939713,137,630
33,C-(H)2(C)(CO),2.57178,-0.054121,0.125804,177,530
34,C-(H)2(CO)2,-15.9273,8.87101,-0.755096,255,360
35,C-(H)2(CB)(O),-31.7318,25.0997,-4.32561,260,460
36,C-(H)(C)2(O),-2.32591,1.9493,-0.183551,130,520
37,C-(H)(C)2(O),-4.64439,2.38989,0.172814,188,630
38,C-(H)(C)2(CO),1.34804,-1.10464,0.388707,184,510
39,C-(C)2(O)2,-9.66943,8.4521,-1.34417,273,334
40,C-(C)3(O)-ether,-5.55859,2.73681,-0.295802,168,308
41,C-(C)3(O)-alcohol,-62.7399,42.4837,-6.5194,220,453
42,C-(C)3(CO),-5.77166,2.89298,-0.347793,226,370
43,Cd-(H)(CO),15.0016,-2.38663,-0.502618,205,580
44,Cd-(C)(CO),33.1965,-15.5451,1.76877,199,428
45,CB-(CB)2(O),11.7089,-4.32718,0.534999,277,600
46,CB-(CB)2(CO),-12.8355,8.66959,-1.28313,185,705
47,CO-(H)(C),13.3656,-5.29394,1.09633,177,428
48,CO-(H)(Cd),17.1378,-6.89875,1.06118,218,428
49,CO-(C)2,6.31505,0.347175,-0.179791,184,383
50,CO-(C)(Cd),-3.47665,0.307623,0.816128,273,580
51,CO-(C)(CB),17.8688,-7.09695,0.981906,298,680
52,CO-(H)(O),13.3193,-0.803329,1.70159,275,342
53,CO-(C)(O),8.08178,-0.0899845,1.82452,189,510
54,CO-(Cd)(O),-13.702,6.87382,1.76644,199,415
55,CO-(CB)(O),17.7481,-7.85502,3.21463,185,705
56,CO-(O)(CO),2.05955,1.83994,1.79433,318,347
57,CO-(O)2,14.4528,-4.95451,4.79274,270,510
58,O-(H)(C),16.1555,-11.938,2.85117,153,590
59,O-(H)(C)-diol,-3.91414,5.37248,-0.72592,240,630
60,O-(H)(CB),-6.13229,7.34047,-0.950215,285,490
61,O-(H)(CO),-2.03728,0.661816,-1.58248,241,510
62,O-(C)2,6.35342,-0.969836,-0.0378285,130,520
63,O-(C)2-alcohol,0.328815,5.50907,-1.45665,273,460
64,O-(C)(Cd),6.72403,-1.80859,0.275264,320,500
65,O-(C)(CB),-12.5217,11.5795,-2.07231,277,520
66,O-(CB)2,-29.6864,16.1663,-2.20694,191,570
67,O-(C)(CO),1.94851,-0.0396775,-2.00756,185,705
68,O-(Cd)(CO),-2.37455,1.28561,-1.95213,189,330
69,C-(H)3(N),6.66628,-3.04769,0.803453,161,388
70,C-(H)2(C)(N),5.65728,-1.81484,0.312815,190,590
71,C-(H)(C)2(N),-3.27677,3.32281,-0.505009,181,398
72,C-(C)3(N),-0.104392,0.334373,-0.0318456,210,398
73,CB-(CB)2(N),5.72348,-2.18315,0.317372,235,770
74,N-(H)2(C),9.56972,-0.787001,0.0290844,181,770
75,N-(H)2(N),6.6911,-0.535766,0.116779,216,464
76,N-(H)(C)2,-8.47943,13.7293,-2.83967,185,590
77,N-(H)(C)(CB),-8.67223,9.64876,-1.68457,240,379
78,N-(H)(C)(N),2.9115,2.65501,-0.604121,205,298
79,N-(H)(CB)(N),-5.30432,6.36328,-0.997913,293,358
80,N-(H)(CB)2-pyrrole,-22.444,15.4165,-1.98431,256,441
81,N-(C)3,-5.18409,7.14555,-1.55546,161,590
82,N-(C)2(CB),-15.7234,13.2617,-2.48803,283,388
83,N-(C)2(N),-2.83275,6.32687,-1.33894,205,298
84,NB-(CB)2,0.664604,1.29387,-0.194972,207,610
85,C-(H)2(C)(CN),10.2195,-1.19519,0.303634,185,370
